Term,LoanStatus,EstimatedEffectiveYield,EstimatedReturn,ProsperRatingAlpha,ProsperScore,BorrowerState,Occupation,EmploymentStatus,FirstRecordedCreditLine,CurrentCreditLines,TotalCreditLinespast7years,CurrentDelinquencies,DelinquenciesLast7Years,IncomeRange,LoanOriginationQuarter,DebtToIncomeRatio,LoanOriginalAmount,semester,year
36,Past Due (1-15 days),0.1264,0.074,B,4,AL,Sales - Retail,Employed,1996-11-09,9.0,29.0,0.0,0.0,"$25,000-49,999",Q1 2014,0.18,4000,Q1,2014
36,Defaulted,0.2896,0.1246,HR,5,FL,Other,Other,1999-03-08,10.0,18.0,0.0,0.0,"$50,000-74,999",Q2 2012,0.49,4000,Q2,2012
36,Defaulted,0.2126,0.1051,D,5,IL,Skilled Labor,Employed,1998-06-09,7.0,34.0,0.0,0.0,"$25,000-49,999",Q2 2013,0.39,2000,Q2,2013
60,Completed,0.2473,0.1248,E,3,NY,Sales - Commission,Employed,1975-10-26,7.0,12.0,0.0,0.0,"$25,000-49,999",Q1 2013,0.11,4000,Q1,2013
36,Completed,0.0608,0.0608,A,9,CO,Executive,Full-time,2000-04-11,16.0,49.0,0.0,0.0,"$75,000-99,999",Q2 2010,0.26,4000,Q2,2010
36,Completed,0.0897,0.0517,A,9,CA,Other,Employed,1988-06-01,4.0,19.0,1.0,10.0,"$25,000-49,999",Q1 2012,0.11,10000,Q1,2012
36,Completed,0.0555,0.0555,AA,10,IL,Other,Employed,2003-12-01,6.0,17.0,0.0,0.0,"$100,000+",Q4 2010,0.05,16000,Q4,2010
36,Chargedoff,0.2392,0.1202,D,5,NY,Construction,Employed,1992-04-20,18.0,37.0,0.0,0.0,"$100,000+",Q1 2012,0.15,2000,Q1,2012
12,Completed,0.2452,0.1152,E,3,CA,Professional,Employed,2000-09-05,14.0,54.0,0.0,0.0,"$50,000-74,999",Q2 2011,0.28,3000,Q2,2011
36,Completed,0.2437,0.1317,D,6,FL,Other,Employed,1999-07-01,9.0,20.0,1.0,1.0,"$100,000+",Q2 2011,0.1,4500,Q2,2011
36,Chargedoff,0.2957,0.1487,E,5,FL,Fireman,Employed,1990-02-01,4.0,53.0,6.0,5.0,"$50,000-74,999",Q1 2011,0.21,2500,Q1,2011
36,Chargedoff,0.2512,0.1137,E,2,KS,Skilled Labor,Employed,2000-10-26,8.0,15.0,0.0,0.0,"$50,000-74,999",Q3 2013,0.26,4000,Q3,2013
36,Completed,0.0983,0.0488,B,8,VA,Analyst,Full-time,2000-10-03,15.0,36.0,0.0,0.0,"$75,000-99,999",Q1 2011,0.18,5600,Q1,2011
36,Past Due (16-30 days),0.2575,0.115,E,2,NY,Other,Employed,2008-12-05,9.0,9.0,0.0,0.0,"$50,000-74,999",Q3 2013,0.12,4000,Q3,2013
36,Chargedoff,0.2727,0.1257,E,6,GA,Accountant/CPA,Employed,2001-04-28,11.0,23.0,0.0,3.0,"$25,000-49,999",Q2 2012,0.35,4000,Q2,2012
36,Completed,0.2766,0.1276,E,3,GA,Professional,Employed,1982-06-01,28.0,42.0,0.0,30.0,"$25,000-49,999",Q2 2012,0.4,4000,Q2,2012
36,Completed,0.2917,0.1267,HR,3,CO,Construction,Employed,1989-07-22,7.0,19.0,0.0,0.0,"$75,000-99,999",Q4 2011,0.23,4000,Q4,2011
36,Completed,0.1557,0.1557,E,5,MN,Other,Employed,2008-06-29,5.0,11.0,0.0,0.0,"$25,000-49,999",Q4 2010,0.3,3500,Q4,2010
60,Chargedoff,0.2332,0.1442,C,7,MN,Laborer,Employed,1998-08-27,17.0,29.0,0.0,0.0,"$50,000-74,999",Q2 2012,0.43,7000,Q2,2012
